edge,count,name,shape,edge_length,cycle_roads,main_roads,small_roads,school_distance
"(256165318, 151356155)",625,Schusterstraße,"{""type"":""LineString"",""coordinates"":[[8.2714706,50.0012542],[8.2714974,50.0011714],[8.2715186,50.0011027],[8.2715458,50.0010401],[8.2715935,50.0009718],[8.2717292,50.0008102],[8.2718572,50.0006669],[8.2719456,50.0005668]]}",0.084,0,1,0,0.398
"(697194412, 530087)",593,Umbach,"{""type"":""LineString"",""coordinates"":[[8.2649013,50.0008624],[8.2649637,50.000846],[8.2655268,50.0006643],[8.2656068,50.0006329],[8.2657042,50.000589]]}",0.065,0,1,0,0.46
"(1783146268, 529817)",533,Binger Straße,"{""type"":""LineString"",""coordinates"":[[8.2635215,50.0001535],[8.2634486,50.0001476],[8.2633752,50.0001449],[8.2633017,50.0001455],[8.2632293,50.0001459],[8.2628068,50.0001643],[8.2624307,50.0001844],[8.2620199,50.0002068]]}",0.108,0,1,0,0.54
"(160522741, 530091)",513,Große Langgasse,"{""type"":""LineString"",""coordinates"":[[8.267833,49.9993626],[8.2686142,49.9989263]]}",0.074,0,1,0,0.194
"(10992709326, 10992709354)",502,Münsterplatz,"{""type"":""LineString"",""coordinates"":[[8.2625632,50.0007596],[8.2630496,50.0005454],[8.2633057,50.0004327],[8.2635463,50.0003315],[8.2636671,50.0002871],[8.2637694,50.0002489],[8.263874,50.0002313]]}",0.111,0,0,1,0.525
"(530092, 530086)",494,Große Langgasse,"{""type"":""LineString"",""coordinates"":[[8.266374,50.000192],[8.2668164,49.9999359],[8.2670179,49.999818]]}",0.062,0,1,0,0.336
"(27362587, 27362596)",479,Am Linsenberg,"{""type"":""LineString"",""coordinates"":[[8.258117500000001,49.9976299],[8.2580989,49.9974808],[8.2580927,49.9974579],[8.2580781,49.9974043],[8.2580479,49.997329],[8.2580086,49.9972556],[8.2579604,49.9971843],[8.2579036,49.9971157],[8.2578385,49.9970503],[8.2577656,49.9969883],[8.2576853,49.9969302],[8.2575981,49.9968764],[8.2575046,49.9968271],[8.2574054,49.9967828],[8.2572574,49.996729],[8.2571047,49.9966828],[8.2565793,49.9965376],[8.2564591,49.9964967],[8.2563856,49.996464],[8.2563219,49.9964332],[8.2562632,49.9963985],[8.25621,49.9963603],[8.2561629,49.9963189],[8.2561224,49.9962748],[8.2560887,49.9962283],[8.2560623,49.99618],[8.2560434,49.9961302],[8.2560321,49.9960794],[8.2560289,49.9960282]]}",0.25,0,1,0,0.825
"(10992709351, 10992709348)",476,Schillerstraße,"{""type"":""LineString"",""coordinates"":[[8.2644084,50.0001511],[8.2645497,50.0001005],[8.2651966,49.9997616],[8.2653326,49.9996995],[8.2655197,49.999614]]}",0.1,0,0,1,0.39
"(10992709355, 10992709326)",471,Bahnhofstraße,"{""type"":""LineString"",""coordinates"":[[8.2613664,50.0012775],[8.2614602,50.001233],[8.2625632,50.0007596]]}",0.103,0,0,1,0.635
"(30896944, 4971659199)",410,Mombacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2545319,50.0038844],[8.2543953,50.0039585],[8.2540013,50.004172],[8.2536487,50.0043666],[8.2535751,50.0044046]]}",0.09,0,1,0,0.414
